microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection_method	collection	collection_attempts	cycles	animal	protocol	adapter	type_binomial	fastp_total_before_filtering.total_reads	fastp_total_after_filtering.total_reads	fastp_total_low_quality_reads	fastp_total_adapter_trimmed_reads	fastp_total_total_polyx_trimmed_reads	fastp_total_polyx_trimmed_reads.A	fastp_total_polyx_trimmed_reads.T	fastp_total_polyx_trimmed_reads.C	fastp_total_polyx_trimmed_reads.G	fastp_total_before_filtering.total_bases	fastp_total_after_filtering.total_bases	fastp_total_adapter_trimmed_bases	fastp_total_total_polyx_trimmed_bases	fastp_total_polyx_trimmed_bases.A	fastp_total_polyx_trimmed_bases.T	fastp_total_polyx_trimmed_bases.C	fastp_total_polyx_trimmed_bases.G	fastp_avg_before_filtering.gc_content	fastp_avg_after_filtering.gc_content	fastp_avg_duplication.rate	raw_sequences_chicken	raw_sequences_human	raw_sequences_pig	reads_mapped_chicken	reads_mapped_human	reads_mapped_pig	reads_unmapped_chicken	reads_unmapped_human	reads_unmapped_pig	raw_sequences_bacteria	reads_mapped_bacteria	reads_unmapped_bacteria	mapbac_counts_unfilt	mapbac_counts_filt	sgm_microbial_fraction	sgm_average_bacterial_archaeal_genome_size	np_Redundancy	np_Coverage	np_Diversity	kr_Eukaryota	kr_Bacteria	kr_Archaea	kr_Viruses	kr_total	kr_Bacteria_pct	genome_count_filtering30	seq_yield	seq_yield_filtered	low_quality_pct	adapter_contamination_pct	mapping_host_pct	mapping_human_pct	mapping_pig_pct	seq_yield_bacteria	mapping_bacteria_total_pct	mapping_bacteria_filtered_pct	mapping_reference_pct	bacteria_retained_pct
M301622	68	32.45682631743571	3.8781442826776433	Caecum right	Positive	MSEB0015	G121eI104C	B11	12228.07868	47018.1632	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	58568244	56793492	779560	1297461	113457	38367	41198	23998	9894	8785236600	8500160605	19245645	2671849	395645	468106	1328302	479796	0.510633	0.505843	0.516627	56793492	56778208	55916960	8745	853878	1770	56784747	55924330	55915190	55913664	45704853	10208811	45704853	42009374	0.7864	2669661	0.9792	0.981	17.9349	11420222	2710625	22580	315345	14468772	0.1873431276683329	retained	58568244	56793492	0.03030229146019812	0.00219068032840458	1.4931299630564304e-4	0.0145791975596878	3.0221155341450905e-5	55913664	0.7803691877803268	0.8047551117300553	0.8174183147790136	0.9191447131445756
M301624	26	17.880990094682623	3.4635293526938993	Caecum right	Positive	MSEB0015	G121eI104C	B11	12238.06288	47161.33866	5000	Lid8_Covaris_500639	Success	2	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	25177646	24489664	333194	1364749	75840	28545	29644	13399	4252	3776646900	3650984330	23109222	1525708	325515	356692	678057	165444	0.500972	0.496926	0.670612	24489664	24480478	20958974	6251	3500158	914	24483413	20980320	20958060	20957632	15447941	5509691	15447941	12093496	0.6757	2785391	0.9825	0.984	17.2268	4818142	2338758	9761	97601	7264262	0.32195397137382986	retained	25177646	24489664	0.02732511212525587	0.00611897871627871	2.482757919465545e-4	0.1390184769457796	3.630204348730616e-5	20957632	0.613557796467549	0.6307943220454147	0.7371033616775025	0.7828548801422791
M301625	81	34.65934980431802	4.012043750747626	Caecum right	Positive	MSEB0015	G121eI104C	B11	11066.91824	47442.8341	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	50259472	49138712	547436	1606766	93779	33360	34731	19000	6688	7538920800	7346254844	25214590	2048949	336784	375835	1051492	284838	0.506011	0.502782	0.3274	49138712	49131094	48701020	4348	425684	905	49134364	48705410	48700115	48699260	40195074	8504186	40195074	37365553	0.7678	2632839	0.962	0.9652	18.0549	9848703	2253324	20191	261844	12384062	0.1819535464211985	retained	50259472	49138712	0.02229947819587122	0.00334458879048046	8.651105606521294e-5	0.00846972686064031	1.8006556057731764e-5	48699260	0.7997512190338968	0.8179920141170978	0.8253734040311906	0.929605279492706
M301626	11	7.955881155757454	2.8916995081511097	Caecum right	Positive	MSEB0015	G121eI104C	B11	12089.36378	48106.16384	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	11056296	10690424	161156	661530	56358	22515	25296	5906	2641	1658444400	1592301200	11843024	965260	278262	328032	264434	94532	0.487306	0.482241	0.621395	10690424	10653178	5780404	33930	4843260	847	10656494	5809918	5779557	5779440	3138093	2641347	3138093	1868779	0.4222999999999999	3031217	0.963	0.9661	16.5196	2315940	1675084	2738	19997	4013759	0.4173354703159806	retained	11056296	10690424	0.03309173343405423	0.00714104373954291	0.00306883969097788	0.4380544804516811	7.660793451984281e-5	5779440	0.2838285986554629	0.29354242638084327	0.5429752709605082	0.595514218348532
M301627	67	33.61701221306535	3.8376150576889985	Caecum right	Positive	MSEB0015	G121eI104C	B11	12291.68054	48099.18876	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	50947416	49879050	598110	2906931	117129	42517	43241	25015	6356	7642112400	7432399316	49954900	2478409	460913	488393	1307278	221825	0.508803	0.506129	0.562492	49879050	49866598	48333552	8805	1521563	885	49870245	48345035	48332667	48332058	38038419	10293639	38038419	34839837	0.7069	2681546	0.9749	0.9771	18.0166	9505337	3108665	21513	247652	12883167	0.24129664701233788	retained	50947416	49879050	0.02096997421812325	0.00653679210475888	1.728252518243516e-4	0.0298653615720177	1.7370851546229548e-5	48332058	0.7466211632794095	0.7626131411885351	0.7870225389533382	0.9159118048518262
M301629	77	35.60137604665327	4.057234694683544	Caecum right	Positive	MSEB0015	G121eI104C	B11	12553.1693	47697.32826	5000	Lid8_Covaris_500639	Success	2	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	60794018	59308114	696612	2097678	114188	40304	41356	23698	8830	9119102700	8863256167	33639179	2541095	413765	448265	1291259	387806	0.511946	0.508338	0.407944	59308114	59270142	58652050	32910	612515	1315	59275204	58657627	58650735	58649588	48253944	10395644	48253944	44690786	0.7506999999999999	2660679	0.9645	0.9675	18.1273	11678676	2762575	25780	320949	14787980	0.18681219476899483	retained	60794018	59308114	0.02444161529182032	0.00368886941036424	5.413361558040135e-4	0.0100752511538224	2.163041765063135e-5	58649588	0.7937284882206667	0.8136145418483548	0.822749922812757	0.9261582017005698
M301631	78	34.759267789807645	3.952574010613174	Caecum right	Positive	MSEB0015	G121eI104C	B11	12925.6	47760.37328	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	45449930	44233172	645624	2359712	92637	31484	31116	23205	6832	6817489500	6594804259	40754298	2211783	322733	339655	1249726	299669	0.510266	0.506546	0.336291	44233172	44219730	43816308	9964	400044	877	44223208	43819686	43815431	43814600	36320211	7494389	36320211	33692545	0.731	2669916	0.9558	0.9596	18.0688	8583911	2120922	19269	237198	10961300	0.19349183034859005	retained	45449930	44233172	0.02677139436738406	0.00597790403637585	2.1923026064066544e-4	0.00880186174104118	1.929595931170851e-5	43814600	0.7991257852322324	0.8211079910796358	0.8289522442290926	0.9276527881404654
M301632	79	35.09264197227581	3.8943081285665127	Caecum right	Positive	MSEB0015	G121eI104C	B11	13655.3237	47737.86962	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	46263462	45130154	600160	1790299	89401	30601	31602	20550	6648	6939519300	6742040576	27944755	2046446	311107	344518	1125923	264898	0.510834	0.507523	0.306362	45130154	45108648	44667640	18155	436729	795	45111999	44671919	44666845	44666088	37023914	7642174	37023914	34392972	0.7594	2676150	0.956	0.9597	18.0542	8772146	2131861	19662	239460	11163129	0.1909734268949145	retained	46263462	45130154	0.02449682645885861	0.0040269006817230104	3.924263169064174e-4	0.00944004147376605	1.718418738312321e-5	44666088	0.8002841205441996	0.820380847803001	0.8289043356561694	0.928939387661715
M301633	12	11.173191135277968	2.9794985495850903	Caecum right	Positive	MSEB0015	G121eI104C	B11	14190.2937	47733.95594	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	8215752	7848260	169472	417869	32514	12089	11994	6300	2131	1232362800	1169400293	8355041	716319	141046	156116	318685	100472	0.496813	0.489412	0.628713	7848260	7842290	5889700	3994	1941388	860	7844266	5900902	5888840	5888594	3367917	2520677	3367917	1884244	0.5771999999999999	3107168	0.9698	0.9723	16.4515	1398894	1083977	2978	28196	2514045	0.4311684953928828	retained	8215752	7848260	0.04473017199155962	0.00677969263596726	4.8613930897622033e-4	0.2363007062530612	1.0467696688020768e-4	5888594	0.40993411193521906	0.4291291318075599	0.5719390740811814	0.5594686567394624
M301634	80	33.42906846640187	4.017449472420919	Caecum right	Positive	MSEB0015	G121eI104C	B11	12278.52954	46523.46192	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	61874372	60106724	788014	1545725	122769	42236	44046	26244	10243	9281155800	8991886433	24755446	2860832	430699	485220	1442275	502638	0.507448	0.50293	0.401283	60106724	60092296	59385550	8261	699693	1770	60098463	59392603	59383780	59382180	49093400	10288780	49093400	45631744	0.7705	2636529	0.9685	0.9712	18.0084	11954605	2812460	24005	318287	15109357	0.18614028379897304	retained	61874372	60106724	0.02856833843905518	0.00266728051262753	1.3351246619521244e-4	0.01130828447034581	2.8606350946075057e-5	59382180	0.7934367398508707	0.8167705163901463	0.8267362363591232	0.9294883629978776
M301636	75	36.21807817259435	4.10374892555691	Caecum right	Positive	MSEB0015	G121eI104C	B11	12327.51278	46664.42608	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	84510654	81954564	1082800	2476281	180444	65275	65400	35844	13925	12676598100	12254974355	39221353	4068625	683597	744504	1991022	649502	0.504967	0.500133	0.547327	81954564	81934532	79413402	10763	2500165	2349	81943801	79434367	79411053	79409008	65066046	14342962	65066046	60031134	0.7553	2684892	0.9843	0.9856	18.006	16258372	4492112	32058	422264	21204806	0.2118440508250818	retained	84510654	81954564	0.03024577232593656	0.00309399672456287	1.2735672356765812e-4	0.02958402144184093	2.779531205615803e-5	79409008	0.7699153055897544	0.7939282795769617	0.819378652860139	0.9226184421902632
M301638	71	32.583458217627076	4.0174236372071785	Caecum right	Positive	MSEB0015	G121eI104C	B11	12137.6993	46789.01156	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	52160790	50515242	760536	1702276	109131	37097	37762	25465	8807	7824118500	7550472230	27398884	2602018	386380	426031	1355209	434398	0.508348	0.503418	0.395792	50515242	50502250	49723578	7641	771863	1572	50507601	49730387	49722006	49720656	40573311	9147345	40573311	37457546	0.7503	2665254	0.9649	0.9679	18.0517	10313613	2451765	20432	259948	13045758	0.187935802580425	retained	52160790	50515242	0.03154760501135048	0.00350184931375975	1.464893457326854e-4	0.01479776284063182	3.0137580354898764e-5	49720656	0.7778507764165382	0.8031894809095441	0.8160252551776469	0.9232065384064908
M301640	74	35.09427191078616	3.898945079923756	Caecum right	Positive	MSEB0015	G121eI104C	B11	12812.0456	46716.83462	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	46249392	44863702	702274	1405541	96212	32661	33559	22576	7416	6937408800	6705564723	24818608	2261281	336315	378859	1211638	334469	0.509903	0.505578	0.484798	44863702	44854150	43991054	5151	855972	1363	44858551	43998178	43989691	43988638	36297803	7690835	36297803	33564784	0.7514	2695175	0.9733	0.9756	17.9749	8582128	2276826	19364	236808	11115126	0.204840322997688	retained	46249392	44863702	0.02996125873395265	0.00357750403868372	1.113744370953028e-4	0.01850774600453126	2.9470657689943255e-5	43988638	0.7848276794644132	0.8090683867327756	0.8251631478110325	0.924705663315215
M301642	74	35.50275695486817	3.919751157219784	Caecum right	Positive	MSEB0015	G121eI104C	B11	12937.14104	44877.33044	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	52324380	51122472	598868	1964040	108114	38713	39866	22544	6991	7848657000	7638177913	30827246	2303637	402721	434821	1187465	278630	0.505774	0.502439	0.506947	51122472	50686250	49705914	428428	973330	1171	50694044	49712920	49704743	49703900	40772394	8931506	40772394	37650524	0.7354	2680269	0.975	0.9771	18.0037	9898403	2805848	21567	273845	12999663	0.21584005677685644	retained	52324380	51122472	0.02297032473198918	0.0039277096705844	0.00818792310582562	0.01860184487613613	2.23796249472999e-5	49703900	0.7792236429748427	0.7975434755971894	0.8203057305362356	0.9234317710164384
M301643	71	32.39747029170376	4.1638556924429055	Caecum right	Positive	MSEB0015	G121eI104C	B11	12939.75016	45159.48272	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	53028608	51494486	692248	1890737	124667	46106	47059	23366	8136	7954291200	7690999246	33716987	2677642	483156	527156	1285660	381670	0.493669	0.489	0.458434	51494486	51481408	49807228	7980	1662305	1376	51486506	49819103	49805852	49804672	40904799	8899873	40904799	37587239	0.7483	2652291	0.9747	0.9769	17.9596	10507630	2933411	20452	253005	13714498	0.21389124122516187	retained	53028608	51494486	0.02893008241890867	0.00423884242507993	1.5048481001047587e-4	0.03134732482512081	2.5948257966718644e-5	49804672	0.7713722939889351	0.7943529915028184	0.8213044551322414	0.9188955799538338
M301645	76	34.37419142056856	3.995481949111411	Caecum right	Positive	MSEB0015	G121eI104C	B11	12904.57932	45706.44284	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	55452570	54092018	644156	1687178	104832	37564	38294	20932	8042	8317885500	8089450674	24704507	2283001	382789	417131	1121969	361112	0.509143	0.505513	0.478066	54092018	54070602	53413534	16900	651851	1132	54075118	53418751	53412402	53411298	44366114	9045184	44366114	41166782	0.7526	2645055	0.9734	0.9756	17.9662	10687125	2575412	23084	289335	13574956	0.1897178893250188	retained	55452570	54092018	0.02453541828629403	0.00297004653406205	3.0476495498765884e-4	0.0117551089156012	2.0413841955386377e-5	53411298	0.8000731796560556	0.8201970575399867	0.8306503616519486	0.9278879371765578
M301646	68	33.26386615375687	3.858428751575205	Caecum right	Positive	MSEB0015	G121eI104C	B11	12938.69788	46308.37052	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	56994608	55353138	722822	1783656	110166	38034	39231	23368	9533	8549191200	8275716287	27767100	2518761	394839	444134	1238882	440906	0.51343	0.508951	0.490985	55353138	55326194	54254144	20914	1064617	1727	55332224	54261577	54252417	54251004	44263789	9987215	44263789	40691124	0.7519	2670545	0.9736	0.9759	18.0058	10971790	2722529	23024	286608	14003951	0.194411491442665	retained	56994608	55353138	0.02880044371916726	0.00324792127704431	3.66946992599721e-4	0.01867925822035656	3.0301111992909927e-5	54251004	0.776631168337889	0.7996617824991241	0.8159072779556301	0.9192869593698814
M301647	72	32.708454372934916	4.023643421868064	Caecum right	Positive	MSEB0015	G121eI104C	B11	12946.2991	47528.6228	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	53891842	52613906	669418	1732992	107018	38148	39350	22424	7096	8083776300	7865550506	26978374	2317009	390180	428967	1199363	298499	0.504421	0.501088	0.486388	52613906	52605512	51893450	4596	707062	1004	52609310	51898450	51892446	51891528	42692298	9199230	42692298	39309073	0.7482	2624696	0.9726	0.975	17.9606	10667896	2534147	22032	275804	13499879	0.18771627508661373	retained	53891842	52613906	0.02371297681753019	0.00333734791745783	8.528192448868234e-5	0.01312001916727953	1.8629906916152542e-5	51891528	0.792184798582316	0.8114261275336601	0.8227219287125251	0.9207532702971388
M301648	84	36.092036495340686	4.004736624313531	Caecum right	Positive	MSEB0015	G121eI104C	B11	12895.09512	48524.79512	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	43454200	42527928	459238	1716345	78167	27877	29209	15555	5526	6518130000	6350504589	29112092	1618935	280313	306553	811004	221065	0.508669	0.505623	0.150454	42527928	42504786	42396074	20298	107158	695	42507630	42397628	42395379	42394718	35211887	7182831	35211887	32786901	0.7542	2656656	0.9381	0.9433	18.1311	8362009	1899505	18333	232176	10512023	0.180698329902817	retained	43454200	42527928	0.02131605230334467	0.00446632577134853	4.6711250005753184e-4	0.00246599868367154	1.5993850997141818e-5	42394718	0.8103218331024389	0.8279709042020575	0.8305725019800816	0.9311316090500916
